Pokémon,Votes,Color
Greninja,140599,#0000FF
Lucario,102259,#0000FF
Mimikyu,99077,#FFFF00
Charizard,93968,#FF0000
Umbreon,67062,#2F4F4F
Sylveon,66029,#FF69B4
Garchomp,61877,#0000FF
Rayquaza,60939,#32CD32
Gardevoir,60596,#E6E6FA
Gengar,60214,#800080
Dragapult,57973,#32CD32
Tyranitar,56834,#32CD32
Bulbasaur,56015,#32CD32
Toxtricity,55032,#800080
Lugia,53268,#E6E6FA
Rowlet,52367,#CD853F
Aegislash,51517,#CD853F
Chandelure,50943,#2F4F4F
Pikachu,48060,#FFFF00
Eevee,47762,#CD853F
Luxray,46032,#0000FF
Decidueye,44011,#CD853F
Zoroark,43782,#808080
Lycanroc,42792,#CD853F
Corviknight,41711,#800080
Flygon,41420,#32CD32
Hydreigon,40054,#0000FF
Sceptile,38724,#32CD32
Blaziken,38307,#FF0000
Snom,38034,#E6E6FA
